value_date,narration,debit,credit,balance
09/07/2026,BY TRANSFER-NEFT*06c3pv*RAZORPAY SOFTWARE,,34.99,"50,00,034.99"
09/07/2026,UPI/0CwyEY/PAYMENT/REF,,82.30,"50,00,117.29"
09/07/2026,TRF FROM RAZORPAY REF 0lEDmC DT 09/07,,129.82,"50,00,247.11"
09/07/2026,NEFT/RAZORPAY/4nYDqz/SETTLEMENT,,7.50,"50,00,254.61"
09/07/2026,TRF FROM RAZORPAY REF 6wCLnC DT 09/07,,41.99,"50,00,296.60"
09/07/2026,TRF FROM RAZORPAY REF aYevzj DT 09/07,,52.85,"50,00,349.45"
09/07/2026,TRF FROM RAZORPAY REF BYexjP DT 09/07,,111.32,"50,00,460.77"
09/07/2026,UPI/dJ88SA/PAYMENT/REF,,39.63,"50,00,500.40"
09/07/2026,RTGS/la40W0/RAZORPAY/COLLECTION,,26.72,"50,00,527.12"
09/07/2026,NEFT/RAZORPAY/MfUVa5/SETTLEMENT,,140.12,"50,00,667.24"
09/07/2026,BY TRANSFER-NEFT*PAYADB2U*RAZORPAY SOFTWARE,,42.71,"50,00,709.95"
09/07/2026,  MPS/PAYCF7UY/RAZORPAY SOFTWARE PVT LTD  ,,10.73,"50,00,720.68"
09/07/2026,NEFT/RAZORPAY/PAYHTHDM/SETTLEMENT,,84.65,"50,00,805.33"
09/07/2026,UPI/U7RTyq/PAYMENT/REF,,36.58,"50,00,841.91"
09/07/2026,RTGS/UwqaQD/RAZORPAY/COLLECTION,,89.77,"50,00,931.68"
10/07/2026,BY TRANSFER-NEFT*7FQtYo*RAZORPAY SOFTWARE,,32.52,"50,00,964.20"
10/07/2026,UPI/G561Ge/PAYMENT/REF,,18.10,"50,00,982.30"
10/07/2026,BY TRANSFER-NEFT*kEXLxB*RAZORPAY SOFTWARE,,30.12,"50,01,012.42"
10/07/2026,NEFT-RAZORPAY-PAY6GP2W-SETTLEMENT,,16.93,"50,01,029.35"
10/07/2026,BY TRANSFER-NEFT*PAYMX0LV*RAZORPAY SOFTWARE,,350.00,"50,01,379.35"
10/07/2026,BY TRANSFER-NEFT*PAYZRM6X*RAZORPAY SOFTWARE,,341.20,"50,01,720.55"
10/07/2026,RTGS/PI92dx/RAZORPAY/COLLECTION,,35.98,"50,01,756.53"
10/07/2026,NEFT/RAZORPAY/PSWXJG/SETTLEMENT,,51.31,"50,01,807.84"
10/07/2026,IMPS/r87VSu/RZPY/CR,,111.09,"50,01,918.93"
10/07/2026,NEFT-RAZORPAY-rvep12-SETTLEMENT,,34.68,"50,01,953.61"
10/07/2026,IMPS/sem5dA/RZPY/CR,,3.53,"50,01,957.14"
10/07/2026,NEFT/RAZORPAY/sHywf5/SETTLEMENT,,7.01,"50,01,964.15"
10/07/2026,IMPS/skAuZ1/RZPY/CR,,15.21,"50,01,979.36"
10/07/2026,NEFT-RAZORPAY-XTDitg-SETTLEMENT,,31.76,"50,02,011.12"
10/07/2026,TRF FROM RAZORPAY REF XYkzy3 DT 10/07,,7.23,"50,02,018.35"
10/07/2026,IMPS/YTi9Kq/RZPY/CR,,129.82,"50,02,148.17"
11/07/2026,IMPS/0xQBd9/RZPY/CR,,63.13,"50,02,211.30"
11/07/2026,IMPS/30XiJD/RZPY/CR,,16.30,"50,02,227.60"
11/07/2026,  MPS/57fnBA/RAZORPAY SOFTWARE PVT LTD  ,,45.92,"50,02,273.52"
11/07/2026,UPI/59epRk/PAYMENT/REF,,4.69,"50,02,278.21"
11/07/2026,TRF FROM RAZORPAY REF B9mXrw DT 11/07,,"1,036.73","50,03,314.94"
11/07/2026,NEFT-RAZORPAY-bqfnQ0-SETTLEMENT,,9.87,"50,03,324.81"
11/07/2026,  MPS/fSs0az/RAZORPAY SOFTWARE PVT LTD  ,,107.49,"50,03,432.30"
11/07/2026,  MPS/FTHG2o/RAZORPAY SOFTWARE PVT LTD  ,,56.13,"50,03,488.43"
11/07/2026,RTGS/fYXN5s/RAZORPAY/COLLECTION,,34.51,"50,03,522.94"
11/07/2026,RTGS/Gmv8Yw/RAZORPAY/COLLECTION,,78.52,"50,03,601.46"
11/07/2026,NEFT/RAZORPAY/hhKQdj/SETTLEMENT,,317.88,"50,03,919.34"
11/07/2026,  MPS/iFLlAN/RAZORPAY SOFTWARE PVT LTD  ,,189.45,"50,04,108.79"
11/07/2026,NEFT/RAZORPAY/iv9vtW/SETTLEMENT,,18.73,"50,04,127.52"
11/07/2026,BY TRANSFER-NEFT*IYAYJ0*RAZORPAY SOFTWARE,,34.39,"50,04,161.91"
11/07/2026,  MPS/kVOQbS/RAZORPAY SOFTWARE PVT LTD  ,,45.46,"50,04,207.37"
11/07/2026,RTGS/lsZg1E/RAZORPAY/COLLECTION,,14.41,"50,04,221.78"
11/07/2026,RTGS/PAYLYD89/RAZORPAY/COLLECTION,,31.46,"50,04,253.24"
11/07/2026,BY TRANSFER-NEFT*PAYR5Y1C*RAZORPAY SOFTWARE,,25.77,"50,04,279.01"
11/07/2026,BY TRANSFER-NEFT*pYkfdf*RAZORPAY SOFTWARE,,133.02,"50,04,412.03"
11/07/2026,UPI/qa9F4I/PAYMENT/REF,,48.00,"50,04,460.03"
11/07/2026,RTGS/QkZ4du/RAZORPAY/COLLECTION,,140.03,"50,04,600.06"
11/07/2026,  MPS/QVmvb0/RAZORPAY SOFTWARE PVT LTD  ,,59.26,"50,04,659.32"
11/07/2026,UPI/rAYjXy/PAYMENT/REF,,159.80,"50,04,819.12"
11/07/2026,NEFT-RAZORPAY-TQpoTt-SETTLEMENT,,117.83,"50,04,936.95"
11/07/2026,NEFT/RAZORPAY/xL7b3t/SETTLEMENT,,123.34,"50,05,060.29"
12/07/2026,NEFT/RAZORPAY/6h6Dak/SETTLEMENT,,16.16,"50,05,076.45"
12/07/2026,  MPS/aaDXOV/RAZORPAY SOFTWARE PVT LTD  ,,16.68,"50,05,093.13"
12/07/2026,TRF FROM RAZORPAY REF fXy8vm DT 12/07,,74.64,"50,05,167.77"
12/07/2026,IMPS/jYVvLx/RZPY/CR,,94.71,"50,05,262.48"
12/07/2026,RTGS/K1vkYa/RAZORPAY/COLLECTION,,93.72,"50,05,356.20"
12/07/2026,NEFT-RAZORPAY-lczbkE-SETTLEMENT,,185.20,"50,05,541.40"
12/07/2026,IMPS/LR9Rmx/RZPY/CR,,44.67,"50,05,586.07"
12/07/2026,  MPS/MO2uIj/RAZORPAY SOFTWARE PVT LTD  ,,149.03,"50,05,735.10"
12/07/2026,TRF FROM RAZORPAY REF nsWpJD DT 12/07,,232.23,"50,05,967.33"
12/07/2026,BY TRANSFER-NEFT*PAYAK3HY*RAZORPAY SOFTWARE,,142.40,"50,06,109.73"
12/07/2026,UPI/PAYDNETW/PAYMENT/REF,,154.18,"50,06,263.91"
12/07/2026,  MPS/PAYFHAUG/RAZORPAY SOFTWARE PVT LTD  ,,210.78,"50,06,474.69"
12/07/2026,RTGS/Qa23DB/RAZORPAY/COLLECTION,,170.71,"50,06,645.40"
12/07/2026,UPI/qKSq7o/PAYMENT/REF,,44.03,"50,06,689.43"
12/07/2026,  MPS/SxB2jy/RAZORPAY SOFTWARE PVT LTD  ,,79.77,"50,06,769.20"
12/07/2026,NEFT-RAZORPAY-SzT2vx-SETTLEMENT,,6.81,"50,06,776.01"
12/07/2026,NEFT-RAZORPAY-wGS3Cc-SETTLEMENT,,101.41,"50,06,877.42"
12/07/2026,NEFT-RAZORPAY-x41OjE-SETTLEMENT,,49.67,"50,06,927.09"
12/07/2026,NEFT/RAZORPAY/XhDOZU/SETTLEMENT,,4.49,"50,06,931.58"
12/07/2026,BY TRANSFER-NEFT*ztwtOF*RAZORPAY SOFTWARE,,"1,995.92","50,08,927.50"
13/07/2026,BY TRANSFER-NEFT*1whsAs*RAZORPAY SOFTWARE,,57.18,"50,08,984.68"
13/07/2026,BY TRANSFER-NEFT*6iS4Te*RAZORPAY SOFTWARE,,17.25,"50,09,001.93"
13/07/2026,IMPS/8Blba8/RZPY/CR,,28.16,"50,09,030.09"
13/07/2026,NEFT-RAZORPAY-9gBfl5-SETTLEMENT,,138.16,"50,09,168.25"
13/07/2026,RTGS/eTDziL/RAZORPAY/COLLECTION,,93.14,"50,09,261.39"
13/07/2026,NEFT-RAZORPAY-EWXra7-SETTLEMENT,,6.84,"50,09,268.23"
13/07/2026,UPI/hb5JJL/PAYMENT/REF,,22.74,"50,09,290.97"
13/07/2026,  MPS/L6UjvZ/RAZORPAY SOFTWARE PVT LTD  ,,76.58,"50,09,367.55"
13/07/2026,TRF FROM RAZORPAY REF Nqlmh1 DT 13/07,,8.33,"50,09,375.88"
13/07/2026,IMPS/OIYTy4/RZPY/CR,,22.88,"50,09,398.76"
13/07/2026,UPI/OPwZou/PAYMENT/REF,,13.61,"50,09,412.37"
13/07/2026,RTGS/OZK0uF/RAZORPAY/COLLECTION,,432.86,"50,09,845.23"
13/07/2026,NEFT-RAZORPAY-P6L079-SETTLEMENT,,11.62,"50,09,856.85"
13/07/2026,NEFT-RAZORPAY-PAYGAUJQ-SETTLEMENT,,55.04,"50,09,911.89"
13/07/2026,BY TRANSFER-NEFT*rfnd_QVmvb0*RAZORPAY SOFTWARE,41.51,,"50,09,870.38"
13/07/2026,NEFT-RAZORPAY-RP7vOU-SETTLEMENT,,87.05,"50,09,957.43"
13/07/2026,NEFT-RAZORPAY-s1d9Wo-SETTLEMENT,,29.31,"50,09,986.74"
13/07/2026,NEFT-RAZORPAY-SywyoP-SETTLEMENT,,28.82,"50,10,015.56"
13/07/2026,UPI/tV6zki/PAYMENT/REF,,96.80,"50,10,112.36"
13/07/2026,  MPS/vqwBtj/RAZORPAY SOFTWARE PVT LTD  ,,11.61,"50,10,123.97"
13/07/2026,IMPS/ykwP7q/RZPY/CR,,56.70,"50,10,180.67"
14/07/2026,BY TRANSFER-NEFT*2iejeq*RAZORPAY SOFTWARE,,108.64,"50,10,289.31"
14/07/2026,  MPS/4F4Iq7/RAZORPAY SOFTWARE PVT LTD  ,,88.03,"50,10,377.34"
14/07/2026,NEFT/RAZORPAY/BqjR5o/SETTLEMENT,,36.55,"50,10,413.89"
14/07/2026,TRF FROM RAZORPAY REF Bt9PNO DT 14/07,,904.67,"50,11,318.56"
14/07/2026,  MPS/D5S2E7/RAZORPAY SOFTWARE PVT LTD  ,,454.44,"50,11,773.00"
14/07/2026,NEFT-RAZORPAY-d9vYRt-SETTLEMENT,,22.21,"50,11,795.21"
14/07/2026,NEFT/RAZORPAY/FR4xed/SETTLEMENT,,103.35,"50,11,898.56"
14/07/2026,BY TRANSFER-NEFT*jlRawz*RAZORPAY SOFTWARE,,18.08,"50,11,916.64"
14/07/2026,RTGS/kSKKhe/RAZORPAY/COLLECTION,,14.36,"50,11,931.00"
14/07/2026,NEFT/RAZORPAY/n0fHFi/SETTLEMENT,,169.79,"50,12,100.79"
14/07/2026,NEFT-RAZORPAY-nbJj1b-SETTLEMENT,,8.13,"50,12,108.92"
14/07/2026,NEFT-RAZORPAY-NV6f9N-SETTLEMENT,,51.50,"50,12,160.42"
14/07/2026,RTGS/p8bDDB/RAZORPAY/COLLECTION,,33.37,"50,12,193.79"
14/07/2026,UPI/QtHxy3/PAYMENT/REF,,85.53,"50,12,279.32"
15/07/2026,RTGS/Cxuscl/RAZORPAY/COLLECTION,,91.90,"50,12,371.22"
15/07/2026,BY TRANSFER-NEFT*d3JiMx*RAZORPAY SOFTWARE,,104.04,"50,12,475.26"
15/07/2026,NEFT/RAZORPAY/envA9S/SETTLEMENT,,34.80,"50,12,510.06"
15/07/2026,BY TRANSFER-NEFT*HklN5p*RAZORPAY SOFTWARE,,1.13,"50,12,511.19"
15/07/2026,UPI/KTqGSC/PAYMENT/REF,,54.79,"50,12,565.98"
15/07/2026,NEFT-RAZORPAY-lYhfZf-SETTLEMENT,,45.58,"50,12,611.56"
15/07/2026,UPI/mWo5Id/PAYMENT/REF,,244.09,"50,12,855.65"
15/07/2026,BY TRANSFER-NEFT*PAYYN7AK*RAZORPAY SOFTWARE,,14.16,"50,12,869.81"
15/07/2026,IMPS/QfIj0Y/RZPY/CR,,33.44,"50,12,903.25"
15/07/2026,RTGS/QOLLwo/RAZORPAY/COLLECTION,,122.99,"50,13,026.24"
15/07/2026,TRF FROM RAZORPAY REF SKBSEV DT 15/07,,25.81,"50,13,052.05"
15/07/2026,  MPS/v0J3jA/RAZORPAY SOFTWARE PVT LTD  ,,438.64,"50,13,490.69"
15/07/2026,NEFT-RAZORPAY-WW2uWC-SETTLEMENT,,284.55,"50,13,775.24"
16/07/2026,BY TRANSFER-NEFT*2HA3MC*RAZORPAY SOFTWARE,,40.48,"50,13,815.72"
16/07/2026,  MPS/6B78UH/RAZORPAY SOFTWARE PVT LTD  ,,84.69,"50,13,900.41"
16/07/2026,UPI/7gGqdx/PAYMENT/REF,,109.35,"50,14,009.76"
16/07/2026,BY TRANSFER-NEFT*7tUBL3*RAZORPAY SOFTWARE,,16.40,"50,14,026.16"
16/07/2026,UPI/877QuU/PAYMENT/REF,,44.09,"50,14,070.25"
16/07/2026,  MPS/ciXkB6/RAZORPAY SOFTWARE PVT LTD  ,,75.77,"50,14,146.02"
16/07/2026,BY TRANSFER-NEFT*D8BbLL*RAZORPAY SOFTWARE,,170.97,"50,14,316.99"
16/07/2026,NEFT/RAZORPAY/Eid1bg/SETTLEMENT,,178.66,"50,14,495.65"
16/07/2026,NEFT/RAZORPAY/EtagbW/SETTLEMENT,,64.97,"50,14,560.62"
16/07/2026,TRF FROM RAZORPAY REF fXuevL DT 16/07,,5.87,"50,14,566.49"
16/07/2026,NEFT-RAZORPAY-gMEhfm-SETTLEMENT,,51.01,"50,14,617.50"
16/07/2026,IMPS/k3TqyY/RZPY/CR,,23.69,"50,14,641.19"
16/07/2026,RTGS/KR6iZJ/RAZORPAY/COLLECTION,,9.72,"50,14,650.91"
16/07/2026,IMPS/Loe9Zf/RZPY/CR,,69.82,"50,14,720.73"
16/07/2026,BY TRANSFER-NEFT*Nj5BWy*RAZORPAY SOFTWARE,,"1,697.29","50,16,418.02"
16/07/2026,NEFT-RAZORPAY-O0EhzY-SETTLEMENT,,63.46,"50,16,481.48"
16/07/2026,  MPS/p03J4x/RAZORPAY SOFTWARE PVT LTD  ,,9.91,"50,16,491.39"
16/07/2026,NEFT-RAZORPAY-PAYU5O4Y-SETTLEMENT,,15.13,"50,16,506.52"
